ID,Crop Name,N (kg/ha),P (kg/ha),K (kg/ha),Temp (°C),Rain (mm),Hum (%),pH,Soil Type,Season
66,Cotton,138.02,67.84,67.71,25.4,1169.61,56.5,7.16,Alluvial,Kharif
67,Guar Seed,22.4,56.99,26.82,37.55,329.29,49.8,7.43,Sandy,Kharif
68,Brinjal,122.87,55.16,71.95,20.6,1035.99,73.14,6.96,Loamy,Kharif/Rabi
69,Apple,188.82,114.66,161.61,0.0,1029.42,62.16,6.37,Mountain,Perennial (Fruiting: Autumn)
70,Betel Vine,176.79,109.56,128.39,24.59,1709.26,86.86,6.89,Red,Perennial
71,Apricot,125.23,77.66,86.24,0.0,615.23,66.59,7.41,Karewa,Perennial
72,Ashwagandha,31.63,58.33,39.33,26.84,576.57,42.45,8.04,Sandy Loam,Kharif/Rabi
73,Kalmegh,44.6,46.65,40.08,23.95,1756.03,79.09,6.74,Alluvial,Kharif
74,Custard Apple,45.81,36.21,42.44,33.61,681.01,53.22,6.28,Sandy,Perennial
75,Tobacco,111.02,64.75,118.13,20.01,1091.71,72.13,5.89,Sandy,Kharif/Rabi
76,Mango,112.83,71.25,105.76,32.65,1000.8,74.94,6.73,Loamy,Perennial (Fruiting: Summer)
77,Taramira,42.94,30.23,28.76,16.52,386.18,46.21,7.53,Sandy,Rabi
78,Black Pepper,117.73,44.97,183.48,29.4,3281.89,91.57,5.1,Laterite,Perennial
79,Grapes,116.87,189.53,230.31,26.26,680.6,66.09,6.65,Alluvial,Perennial (Fruiting: Spring)
80,Groundnut,37.17,67.96,71.0,26.2,978.48,64.56,6.36,Red,Kharif
81,Wheat,115.82,68.07,46.42,16.43,648.79,47.05,6.16,Loamy,Rabi
82,Apricot,119.88,78.83,90.64,0.0,899.9,58.56,6.04,Mountain,Perennial
83,Garlic,114.86,55.46,89.16,17.78,506.19,55.15,7.31,Alluvial,Rabi
84,Barnyard Millet,39.36,20.99,24.39,28.2,723.26,53.43,5.91,Forest,Kharif
85,Rapeseed,86.18,43.3,36.89,19.96,609.81,64.72,6.82,Loamy,Rabi
86,Walnuts,180.0,107.59,118.2,0.0,1047.01,51.13,7.07,Mountain,Perennial
87,Muskmelon,69.52,68.69,92.43,32.26,630.03,46.87,6.13,Sandy,Zaid
88,Mango,103.69,54.89,125.0,29.38,1031.42,54.14,6.04,Alluvial,Perennial (Fruiting: Summer)
89,Green Gram,24.31,47.36,23.95,29.3,599.91,68.48,7.21,Alluvial,Kharif/Zaid
90,Strawberry,107.7,114.09,125.94,0.0,698.62,78.15,5.65,Alluvial,Rabi/Winter
91,Garlic,114.04,59.52,83.48,21.62,684.57,71.63,7.17,Alluvial,Rabi
92,Coriander,64.43,44.03,40.44,27.73,573.17,57.02,6.63,Loamy,Rabi
93,Vanilla,98.95,48.55,90.31,26.97,2435.71,88.63,6.35,Forest,Perennial
94,Aloe Vera,36.84,28.71,30.1,34.15,419.1,51.91,8.06,Arid,Perennial
95,Tulsi,67.13,44.04,41.68,32.71,1327.64,75.02,6.58,Loamy,Perennial
96,Tulsi,60.32,46.37,43.5,28.58,905.18,67.58,6.12,Loamy,Perennial
97,Cumin,40.39,21.55,29.88,20.82,258.89,30.38,7.69,Arid/Desert,Rabi
98,Watermelon,71.27,78.37,84.97,34.01,417.74,62.08,6.16,Sandy,Zaid
99,Capsicum,118.37,99.52,119.01,27.82,963.51,64.69,6.71,Loamy,Kharif/Rabi
100,Mentha,132.71,51.2,59.35,30.32,1001.85,73.57,6.74,Alluvial,Zaid
101,Guar Seed,24.62,42.92,26.3,36.81,424.29,43.18,7.52,Sandy,Kharif
102,Jackfruit,99.89,52.54,99.06,32.16,1976.14,75.81,5.79,Alluvial,Perennial
103,Ber,52.41,35.4,56.41,25.95,367.66,53.65,8.96,Saline,Perennial
104,Cumin,57.67,28.32,22.74,29.83,225.94,36.31,8.23,Sandy Loam,Rabi
105,Turmeric,128.7,70.79,101.85,30.72,2235.35,81.57,6.16,Red,Kharif
106,Toria,68.53,47.68,38.15,11.79,422.8,53.47,7.25,Loamy,Rabi
107,Mulberry,281.48,121.26,143.45,29.94,836.13,71.35,6.68,Red,Perennial
108,Wheat,115.99,66.19,54.19,16.26,763.85,48.08,6.73,Alluvial,Rabi
109,Okra,115.67,56.67,55.89,27.51,1091.34,74.1,6.68,Loamy,Kharif/Zaid
110,Shatavari,52.77,52.7,59.8,26.66,955.25,59.57,7.37,Red,Perennial
111,Gokhru,31.69,21.81,38.72,37.11,346.56,39.83,7.62,Arid/Desert,Kharif
112,Karakunda,78.35,42.98,48.35,26.04,1037.92,68.89,6.34,Forest,Perennial
113,Linseed,78.98,47.69,28.68,23.87,662.66,53.06,7.47,Black,Rabi
114,Rice (Paddy),142.27,56.2,56.23,26.12,1369.21,87.41,6.07,Peaty/Marshy,Kharif
115,Garlic,110.2,59.46,81.22,23.16,835.59,74.68,6.28,Black,Rabi
116,Chironji,44.54,45.63,32.33,28.79,497.46,59.17,6.79,Gravelly,Perennial
117,Buckwheat,53.03,35.97,36.2,0.0,733.63,63.44,5.98,Forest/Mountain,Kharif/Rabi
118,Barnyard Millet,32.93,23.84,23.45,25.85,468.52,48.17,7.17,Alluvial,Kharif
119,Mulberry,272.12,136.96,140.66,24.6,693.71,62.24,7.12,Black,Perennial
120,Stevia,92.04,73.76,61.08,20.92,1587.9,88.62,6.08,Loamy,Perennial
121,Mango,137.68,62.16,120.6,25.32,1557.13,64.41,6.27,Alluvial,Perennial (Fruiting: Summer)
122,Cowpea,25.5,55.1,34.51,29.16,823.92,62.9,6.89,Sandy,Kharif
123,Carrot,87.51,99.29,104.4,20.51,567.71,61.74,6.45,Alluvial,Rabi
124,Mentha,140.76,51.38,51.2,27.27,1258.4,80.9,6.16,Peaty,Zaid
125,Pigeon Pea,40.44,60.3,44.24,34.86,690.02,70.11,7.04,Alluvial,Kharif
126,Ashwagandha,48.19,53.53,39.65,22.98,747.36,49.16,7.56,Red,Kharif/Rabi
127,Shatavari,59.7,52.5,58.48,25.91,801.48,62.26,6.55,Sandy,Perennial
128,Almonds,144.99,97.34,100.32,0.0,619.17,55.84,7.17,Arid,Perennial
129,Clove,99.68,53.22,99.31,21.95,2770.29,91.69,5.52,Laterite,Perennial
130,Ginger,127.38,50.6,124.29,23.54,2526.99,89.62,6.12,Laterite,Kharif
131,Sunflower,83.5,67.58,41.54,28.67,568.18,69.73,6.52,Black,Kharif/Rabi/Zaid
132,Cardamom,92.09,81.51,155.69,16.04,3459.63,88.81,5.92,Laterite,Perennial
133,Karakunda,72.28,43.63,54.1,31.6,1528.49,84.63,7.4,Mountain,Perennial
134,Chili,119.8,76.74,64.08,26.91,795.79,60.01,6.61,Loamy,Kharif/Rabi
135,Hemp (Mesta),64.91,41.96,43.9,23.04,885.02,76.23,6.42,Laterite,Kharif
136,Walnuts,163.34,114.39,118.31,0.0,959.54,67.99,6.34,Mountain,Perennial
137,Fennel,83.17,55.66,41.94,16.39,675.9,60.24,7.8,Alluvial,Rabi
138,Sesame,42.96,23.71,32.95,28.93,578.95,60.31,7.41,Red,Kharif
139,Makhana,79.77,42.25,40.11,23.1,2933.39,87.92,6.73,Peaty,Kharif
140,Cardamom,90.51,97.7,167.44,16.27,2687.55,88.41,5.71,Red,Perennial
141,Mustard,89.45,47.94,33.66,11.83,651.39,60.67,6.58,Alluvial,Rabi
142,Lentil,20.65,46.78,29.33,19.19,574.25,38.55,6.67,Loamy,Rabi
143,Peach,136.08,78.72,92.83,0.0,906.02,56.2,6.66,Mountain,Perennial
144,Linseed,74.91,41.75,28.0,25.04,475.17,63.76,6.06,Alluvial,Rabi
145,Rubber,118.28,78.89,103.48,32.93,2058.4,89.85,4.97,Laterite,Perennial
146,Cashew Nut,65.4,31.84,48.35,29.6,1163.87,75.95,7.43,Red,Perennial
147,Drumstick,53.08,47.18,62.34,28.73,957.29,57.63,7.78,Red,Perennial
148,Ginger,131.22,70.63,114.87,27.27,2516.37,78.39,5.72,Alluvial,Kharif
149,Brahmi,74.94,49.71,42.97,29.76,1586.29,85.87,5.54,Alluvial,Perennial
150,Makhana,71.33,42.7,49.8,27.68,2375.62,90.07,6.69,Peaty,Kharif
151,Cotton,104.61,67.42,55.64,25.6,1133.91,50.68,6.88,Laterite,Kharif
152,Apple,189.52,113.87,179.62,0.0,1026.73,66.64,5.62,Karewa,Perennial (Fruiting: Autumn)
153,Rapeseed,99.03,52.5,36.65,12.19,400.89,42.99,6.76,Loamy,Rabi
154,Aloe Vera,20.12,36.57,20.49,32.96,446.88,32.73,7.78,Sandy,Perennial
155,Pineapple,100.78,46.87,138.71,24.73,2218.51,70.95,4.55,Laterite,Perennial
156,Rapeseed,96.07,57.8,37.65,10.92,677.02,58.25,6.27,Alluvial,Rabi
157,Apricot,137.21,65.67,119.58,0.0,724.07,50.23,6.35,Mountain,Perennial
158,Lentil,28.24,47.81,21.68,19.85,623.38,44.58,6.55,Alluvial,Rabi
159,Cardamom,79.59,80.86,169.14,17.89,2631.65,80.69,5.05,Red,Perennial
160,Hemp (Mesta),62.43,38.14,43.08,23.54,859.12,75.08,7.06,Red,Kharif
161,Mace,61.33,46.61,103.43,24.2,3450.77,84.05,6.45,Laterite,Perennial
162,Oats,97.0,40.01,46.25,24.03,633.47,56.47,5.84,Loamy,Rabi
163,Marigold,63.45,86.68,75.31,26.75,654.67,74.49,7.35,Red,Kharif/Rabi
164,Vanilla,95.02,53.61,93.57,29.35,2368.79,87.33,5.6,Forest,Perennial
165,Sunflower,98.69,74.22,54.29,26.27,648.62,63.39,6.67,Black,Kharif/Rabi/Zaid
166,Mentha,149.04,54.83,58.24,22.98,1318.14,76.81,6.17,Alluvial,Zaid
167,Rubber,117.53,70.77,80.67,33.24,2773.7,80.69,4.6,Forest,Perennial
168,Tomato,118.94,85.09,125.17,26.04,897.6,63.33,6.66,Loamy,Kharif/Rabi
169,Oil Palm,171.74,83.32,174.58,29.46,3492.83,85.9,6.12,Alluvial,Perennial
170,Sesame,55.82,24.95,24.12,26.88,464.19,44.16,6.83,Sandy,Kharif
171,Rose,148.84,128.63,146.11,17.91,894.47,71.11,6.41,Red,Perennial
172,Lettuce,91.44,45.92,51.45,12.22,595.95,64.99,6.18,Alluvial,Rabi
173,Khesari,17.76,47.36,24.09,23.76,485.78,41.28,7.75,Clayey,Rabi
174,French Bean,70.3,93.2,42.88,15.35,778.75,64.65,5.58,Loamy,Kharif/Rabi
175,Mulberry,171.65,125.16,129.41,30.37,881.28,65.88,7.0,Red,Perennial
176,Amaranth,51.01,39.27,36.74,25.66,599.5,53.95,6.79,Forest,Kharif
177,Carrot,87.39,90.5,117.83,22.45,556.24,63.45,6.12,Sandy Loam,Rabi
178,Drumstick,70.84,49.55,52.38,31.01,681.87,56.87,7.07,Red,Perennial
179,Taramira,57.4,37.91,27.83,13.4,423.98,41.83,7.68,Sandy,Rabi
180,Linseed,74.54,46.28,23.05,23.0,479.26,47.78,6.32,Black,Rabi
181,Almonds,140.73,95.11,103.29,0.0,727.71,52.99,7.47,Karewa,Perennial
182,Indigo,48.76,44.89,44.48,29.41,1074.84,69.64,6.59,Loamy,Kharif
183,Coconut,0.0,0.0,0.0,32.8,2547.74,92.13,7.06,Sandy,Perennial
184,Mustard,86.25,40.6,29.41,17.34,739.1,55.1,6.34,Loamy,Rabi
185,Pear,143.38,77.39,117.68,0.0,857.57,71.71,6.11,Forest,Perennial
186,Rapeseed,81.74,40.72,39.62,8.67,604.48,44.25,7.21,Loamy,Rabi
187,Chironji,30.95,49.57,43.11,24.58,516.56,43.55,7.44,Laterite,Perennial
188,Saffron,87.33,51.49,66.78,0.0,575.8,63.47,6.63,Karewa Soil,Rabi (Autumn)
189,Moth Beans,18.66,39.39,16.69,31.99,335.7,43.3,7.75,Arid/Desert,Kharif
190,Isabgol,51.53,33.22,39.02,20.0,380.09,53.7,7.4,Sandy Loam,Rabi
191,Kodo Millet,37.59,22.46,20.36,30.69,546.11,39.78,6.99,Gravelly,Kharif
192,Walnuts,187.08,105.76,146.66,0.0,845.94,52.36,6.26,Mountain,Perennial
193,Mustard,89.8,54.01,24.47,19.53,680.07,46.67,7.18,Alluvial,Rabi
194,Arecanut,131.5,51.3,169.62,18.32,2667.37,78.32,6.7,Coastal,Perennial
195,Cabbage,133.16,88.26,81.02,15.93,641.55,82.81,6.99,Peaty,Rabi
196,Bottle Gourd,77.02,45.35,60.66,22.48,552.81,71.46,6.47,Red,Zaid/Kharif
197,Oats,96.0,49.04,40.87,9.93,551.69,51.21,6.62,Alluvial,Rabi
198,Pear,128.5,63.1,85.82,0.0,831.92,66.47,6.95,Mountain,Perennial
199,Fig,76.8,59.47,86.7,34.91,590.0,50.1,6.73,Sandy,Perennial
200,Apple,162.74,101.39,180.72,0.0,903.67,65.88,6.51,Karewa,Perennial (Fruiting: Autumn)
201,Makhana,71.88,57.81,43.85,20.37,2319.2,90.81,7.08,Peaty,Kharif
202,Mustard,83.83,50.83,27.78,25.05,746.5,63.51,7.21,Alluvial,Rabi
203,Chili,105.1,74.49,64.46,28.09,1053.3,65.23,7.13,Alluvial,Kharif/Rabi
204,Mace,73.08,55.54,101.38,29.16,3314.9,84.16,5.79,Red,Perennial
205,Grapes,123.6,196.53,243.43,32.34,754.96,67.79,7.31,Sandy,Perennial (Fruiting: Spring)
206,Peach,106.61,70.97,115.5,0.0,831.58,63.74,6.05,Mountain,Perennial
207,Black Gram,38.32,46.63,31.03,29.39,807.12,50.11,7.58,Loamy,Kharif
208,Castor Seed,66.11,46.58,36.21,24.02,704.09,60.66,6.74,Alluvial,Kharif
209,Kodo Millet,31.26,24.61,20.95,29.79,403.7,37.78,7.92,Red,Kharif
210,Strawberry,110.85,105.03,123.54,0.0,601.99,66.55,6.12,Forest/Mountain,Rabi/Winter
211,Cauliflower,129.69,85.36,86.94,19.16,682.51,68.33,6.15,Loamy,Rabi
212,Apple,161.33,143.54,161.9,0.0,808.38,60.48,6.71,Forest,Perennial (Fruiting: Autumn)
213,Plum,105.53,74.39,89.93,0.0,1186.49,56.04,6.28,Loamy,Perennial
214,Dragon Fruit,78.57,44.8,92.46,22.48,521.55,62.39,6.09,Loamy,Perennial
215,Groundnut,25.38,60.81,59.94,20.27,1059.67,58.19,7.29,Alluvial,Kharif
216,Sugarcane,224.68,93.84,101.52,33.97,1926.24,67.33,6.61,Alluvial,Perennial (Annual)
217,Ash Gourd,72.97,56.72,65.07,32.18,575.26,65.36,7.16,Red,Zaid/Kharif
218,Gokhru,32.92,28.1,29.96,35.08,359.93,39.6,8.42,Sandy,Kharif
219,Taramira,51.34,39.98,23.68,25.07,355.02,34.98,7.54,Sandy,Rabi
220,Apple,186.92,140.87,174.27,0.0,1224.75,56.76,6.58,Mountain,Perennial (Fruiting: Autumn)
221,Popcorn,145.14,65.78,43.03,29.77,792.19,63.66,6.9,Loamy,Kharif
222,Clove,91.16,45.33,82.39,21.68,3270.16,94.47,5.29,Coastal,Perennial
223,Groundnut,36.14,61.39,62.31,27.58,754.55,64.03,6.83,Sandy,Kharif
224,Cauliflower,144.81,85.86,98.72,20.07,697.67,75.15,6.1,Alluvial,Rabi
225,Walnuts,193.56,80.09,132.88,0.0,945.27,56.84,6.75,Mountain,Perennial
226,Kinnow,124.27,59.73,85.62,22.25,858.7,58.04,6.73,Alluvial,Perennial (Fruiting: Winter)
227,Maize (Corn),120.52,74.9,48.9,19.09,875.28,68.97,6.39,Red,Kharif
228,Ashwagandha,33.61,42.45,38.2,21.53,591.84,55.27,8.3,Black,Kharif/Rabi
229,Soybean,32.2,84.09,56.66,26.34,617.0,61.45,6.13,Alluvial,Kharif
230,Jackfruit,82.09,49.8,90.36,30.2,1506.81,72.62,6.79,Red,Perennial
231,Spinach,93.05,50.6,54.8,24.95,631.86,67.57,7.31,Loamy,Rabi
232,Fig,75.2,48.28,80.87,31.95,759.5,48.96,6.54,Sandy,Perennial
233,Brahmi,75.46,41.22,40.34,30.53,1546.42,88.7,5.91,Alluvial,Perennial
234,Bitter Gourd,70.57,54.72,65.71,34.9,595.07,71.6,6.86,Red,Zaid/Kharif
235,Makhana,71.31,49.17,42.69,28.87,2864.99,91.68,6.21,Peaty,Kharif
236,Mango,134.32,79.93,140.63,26.59,1356.83,50.56,6.93,Loamy,Perennial (Fruiting: Summer)
237,Dragon Fruit,69.05,58.21,92.99,22.81,687.82,62.6,5.57,Sandy,Perennial
238,Sapota,93.49,67.26,102.49,25.78,1669.33,81.53,6.12,Red,Perennial
239,Ajwain,42.16,37.98,31.11,23.81,566.48,46.87,6.99,Alluvial,Rabi
240,Proso Millet,38.5,23.29,21.63,22.16,504.05,44.42,6.23,Sandy,Kharif
241,Sunflower,98.29,73.76,51.82,24.66,538.14,74.78,7.45,Loamy,Kharif/Rabi/Zaid
242,Ragi,60.66,36.91,32.42,22.93,510.01,70.47,6.86,Loamy,Kharif
243,Sapota,116.43,70.06,99.77,24.51,1436.95,78.57,6.97,Alluvial,Perennial
244,Kiwi,146.94,67.47,139.58,11.58,1482.91,63.98,6.18,Forest,Perennial
245,Brahmi,70.28,48.76,49.7,24.16,1895.61,83.56,6.23,Peaty/Marshy,Perennial
246,Oil Palm,169.57,119.38,207.75,29.81,2891.29,93.79,5.84,Alluvial,Perennial
247,Mustard,91.49,40.7,29.63,11.48,595.61,48.82,6.17,Alluvial,Rabi
248,Cluster Bean,24.73,48.71,29.07,27.8,461.12,42.16,7.69,Arid,Kharif
249,Sweet Corn,146.36,72.36,50.84,23.32,764.62,68.18,6.79,Alluvial,Kharif
250,Curry Leaves,63.78,58.13,61.4,31.75,1095.74,63.16,6.49,Alluvial,Perennial
251,Black Gram,37.16,59.2,20.17,33.61,703.61,74.14,7.23,Alluvial,Kharif
252,Toria,60.27,47.88,32.06,13.91,585.11,61.15,6.49,Loamy,Rabi
253,Tulsi,67.94,40.46,44.81,20.27,1317.93,68.04,6.35,Loamy,Perennial
254,Rapeseed,96.46,55.59,35.99,25.18,536.66,52.44,6.73,Alluvial,Rabi
255,Rice (Paddy),86.81,48.95,54.79,31.7,1140.9,88.95,5.79,Peaty/Marshy,Kharif
256,Cabbage,129.52,82.44,90.88,18.75,787.0,83.4,6.36,Peaty,Rabi
257,Spinach,99.23,47.33,50.55,7.32,632.74,79.65,6.74,Loamy,Rabi
258,Shatavari,40.41,43.95,52.18,36.84,742.12,67.56,6.27,Alluvial,Perennial
259,Wood Apple,44.98,42.68,57.5,30.74,607.36,55.88,7.23,Saline,Perennial
260,Sapota,117.85,75.32,98.69,22.42,1883.77,69.59,7.33,Red,Perennial
261,Saffron,87.36,55.89,64.97,0.0,554.91,61.13,6.58,Karewa Soil,Rabi (Autumn)
262,Ginger,104.02,59.25,137.68,24.03,1993.02,77.12,5.76,Alluvial,Kharif
263,Garlic,107.85,51.43,90.54,20.87,597.25,66.14,7.09,Black,Rabi
264,Lemongrass,63.09,51.12,47.45,25.24,2216.97,80.54,6.75,Red,Perennial
265,Neem,44.5,25.04,48.55,27.29,1005.75,63.61,8.24,Red,Perennial
266,Onion,142.41,75.0,118.53,22.33,516.74,51.68,7.18,Black,Kharif/Rabi
267,Oil Palm,197.77,86.78,247.13,31.52,3356.02,86.49,6.44,Alluvial,Perennial
268,Opium Poppy,90.59,78.69,73.02,22.33,575.86,67.2,7.31,Loamy,Rabi
269,Pineapple,112.5,55.61,127.01,21.55,1599.39,84.4,5.49,Forest,Perennial
270,Mulberry,187.02,129.76,121.34,27.86,1425.25,67.51,6.93,Alluvial,Perennial
271,Sugarcane,233.2,118.84,136.47,30.7,2225.56,74.64,7.48,Black,Perennial (Annual)
272,Mulberry,214.57,134.95,126.97,23.92,1307.12,65.4,6.36,Red,Perennial
273,Sunflower,91.32,63.72,41.14,20.8,699.26,67.89,6.52,Loamy,Kharif/Rabi/Zaid
274,Vanilla,80.8,48.85,86.6,25.09,2175.92,86.91,5.58,Red,Perennial
275,Sunflower,86.99,65.75,59.71,21.76,661.66,74.08,6.78,Loamy,Kharif/Rabi/Zaid
276,Mustard,89.3,58.5,28.51,16.82,713.83,46.61,6.16,Alluvial,Rabi
277,Maize (Corn),144.3,79.18,48.66,25.92,942.72,61.3,6.98,Loamy,Kharif
278,Rapeseed,81.08,52.47,38.26,15.6,411.7,61.14,7.42,Alluvial,Rabi
279,Oats,97.43,41.59,44.1,17.79,714.52,61.95,6.75,Loamy,Rabi
280,Cabbage,143.85,80.9,93.07,19.35,614.98,84.05,6.93,Loamy,Rabi
281,Ber,47.16,41.27,52.76,32.21,544.78,51.26,7.56,Saline,Perennial
282,Castor Seed,74.28,46.37,30.28,23.84,725.58,55.75,7.46,Sandy Loam,Kharif
283,Rice (Paddy),107.5,47.53,55.2,28.25,1294.4,81.49,6.33,Peaty/Marshy,Kharif
284,Soybean,29.21,76.88,57.93,30.85,987.8,72.02,6.46,Alluvial,Kharif
285,Khesari,18.68,49.62,27.98,20.41,406.26,43.78,6.67,Clayey,Rabi
286,Stevia,90.95,76.53,77.28,19.67,1576.15,72.19,7.14,Alluvial,Perennial
287,Ber,57.42,40.59,47.78,33.71,546.74,47.27,8.14,Arid,Perennial
288,Ridge Gourd,76.15,44.86,74.31,25.13,759.94,61.26,6.65,Alluvial,Zaid/Kharif
289,Gokhru,31.87,39.48,33.65,29.37,301.16,49.76,7.6,Arid/Desert,Kharif
290,Saffron,85.79,50.19,77.81,0.0,439.8,57.21,6.87,Karewa Soil,Rabi (Autumn)
291,Soybean,33.94,86.94,58.15,27.64,840.99,73.08,6.17,Black,Kharif
